txn_date,description,amount,account,category
2024-04-25,[SYNTHETIC] AMAZON.COM,-119.72,checking,shopping
2024-04-27,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-04-28,[SYNTHETIC] WHOLEFOODS MARKET,-73.73,checking,groceries
2024-04-28,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-04-30,[SYNTHETIC] VENMO PAYMENT,-68.91,checking,transfers
2024-05-04,[SYNTHETIC] COMCAST CABLE,-54.08,checking,utilities
2024-05-04,[SYNTHETIC] TRADER JOES,-75.03,savings,groceries
2024-05-05,[SYNTHETIC] TRADER JOES,-39.8,checking,groceries
2024-05-06,[SYNTHETIC] UBER TRIP,-23.63,checking,transport
2024-05-06,[SYNTHETIC] TRADER JOES,-41.96,checking,groceries
2024-05-07,[SYNTHETIC] SPOTIFY USA,-10.99,savings,entertainment
2024-05-07,[SYNTHETIC] COMCAST CABLE,-86.7,checking,utilities
2024-05-07,[SYNTHETIC] CVS PHARMACY,-13.57,checking,health
2024-05-09,[SYNTHETIC] ATM WITHDRAWAL,-173.59,checking,cash
2024-05-09,[SYNTHETIC] AMC THEATRES,-38.35,checking,entertainment
2024-05-12,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-05-13,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-05-13,[SYNTHETIC] WHOLEFOODS MARKET,-58.39,checking,groceries
2024-05-14,[SYNTHETIC] ZELLE TRANSFER,-292.27,checking,transfers
2024-05-15,[SYNTHETIC] PLANET FITNESS,-22.99,savings,health
2024-05-15,[SYNTHETIC] TARGET STORE,-94.12,checking,shopping
2024-05-15,[SYNTHETIC] UBER TRIP,-29.27,savings,transport
2024-05-16,[SYNTHETIC] TARGET STORE,-32.74,savings,shopping
2024-05-18,[SYNTHETIC] UBER TRIP,-34.72,savings,transport
2024-05-19,[SYNTHETIC] PG&E UTILITY,-100.04,checking,utilities
2024-05-20,[SYNTHETIC] TRADER JOES,-44.69,checking,groceries
2024-05-22,[SYNTHETIC] PG&E UTILITY,-72.44,checking,utilities
2024-05-22,[SYNTHETIC] CHIPOTLE,-18.33,checking,dining
2024-05-22,[SYNTHETIC] ATM WITHDRAWAL,-96.18,savings,cash
2024-05-22,[SYNTHETIC] INTEREST CREDIT,11.53,checking,income
2024-05-25,[SYNTHETIC] PLANET FITNESS,-22.99,savings,health
2024-05-25,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-05-26,[SYNTHETIC] AIRBNB,-194.21,savings,travel
2024-05-26,[SYNTHETIC] LANDLORD RENT,-1800.0,savings,rent
2024-05-27,[SYNTHETIC] WHOLEFOODS MARKET,-98.02,savings,groceries
2024-05-27,[SYNTHETIC] CHIPOTLE,-17.9,checking,dining
2024-05-31,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-06-01,[SYNTHETIC] TRADER JOES,-80.5,savings,groceries
2024-06-01,[SYNTHETIC] AMC THEATRES,-33.1,checking,entertainment
2024-06-02,[SYNTHETIC] AIRBNB,-331.57,checking,travel
2024-06-02,[SYNTHETIC] COMCAST CABLE,-70.28,savings,utilities
2024-06-06,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-06-06,[SYNTHETIC] AMC THEATRES,-28.66,savings,entertainment
2024-06-08,[SYNTHETIC] AMC THEATRES,-15.03,checking,entertainment
2024-06-08,[SYNTHETIC] CHIPOTLE,-20.36,checking,dining
2024-06-09,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-06-10,[SYNTHETIC] ACME CORP PAYROLL,3355.42,savings,income
2024-06-15,[SYNTHETIC] SHELL GAS STATION,-62.93,checking,transport
2024-06-16,[SYNTHETIC] ACME CORP PAYROLL,3638.75,checking,income
2024-06-18,[SYNTHETIC] ZELLE TRANSFER,-283.29,checking,transfers
2024-06-19,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-06-20,[SYNTHETIC] WHOLEFOODS MARKET,-52.0,checking,groceries
2024-06-22,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-06-23,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-06-25,[SYNTHETIC] UBER TRIP,-27.67,checking,transport
2024-06-28,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-06-28,[SYNTHETIC] ZELLE TRANSFER,-86.66,checking,transfers
2024-06-30,[SYNTHETIC] UBER TRIP,-19.44,checking,transport
2024-07-02,[SYNTHETIC] CVS PHARMACY,-47.83,savings,health
2024-07-02,[SYNTHETIC] AMC THEATRES,-17.88,checking,entertainment
2024-07-04,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-07-05,[SYNTHETIC] ATM WITHDRAWAL,-66.02,checking,cash
2024-07-07,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-07-13,[SYNTHETIC] INTEREST CREDIT,4.89,savings,income
2024-07-13,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-07-13,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-07-15,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-07-16,[SYNTHETIC] UNITED AIRLINES,-321.73,checking,travel
2024-07-18,[SYNTHETIC] SHELL GAS STATION,-65.72,savings,transport
2024-07-22,[SYNTHETIC] STARBUCKS,-11.53,checking,dining
2024-07-23,[SYNTHETIC] INTEREST CREDIT,5.6,checking,income
2024-07-23,[SYNTHETIC] VENMO PAYMENT,-142.31,savings,transfers
2024-07-24,[SYNTHETIC] SPOTIFY USA,-10.99,checking,entertainment
2024-07-25,[SYNTHETIC] TRADER JOES,-37.19,savings,groceries
2024-07-27,[SYNTHETIC] STARBUCKS,-11.79,savings,dining
2024-07-27,[SYNTHETIC] UBER TRIP,-16.93,checking,transport
2024-07-28,[SYNTHETIC] CVS PHARMACY,-23.33,savings,health
2024-07-28,[SYNTHETIC] VENMO PAYMENT,-101.09,savings,transfers
2024-07-30,[SYNTHETIC] CVS PHARMACY,-9.16,savings,health
2024-07-31,[SYNTHETIC] LYFT RIDE,-9.99,checking,transport
2024-08-03,[SYNTHETIC] AMAZON.COM,-104.77,checking,shopping
2024-08-05,[SYNTHETIC] SHELL GAS STATION,-30.16,checking,transport
2024-08-06,[SYNTHETIC] AIRBNB,-304.25,savings,travel
2024-08-07,[SYNTHETIC] CVS PHARMACY,-50.2,checking,health
2024-08-10,[SYNTHETIC] VENMO PAYMENT,-48.47,checking,transfers
2024-08-11,[SYNTHETIC] LYFT RIDE,-27.4,savings,transport
2024-08-11,[SYNTHETIC] SPOTIFY USA,-10.99,savings,entertainment
2024-08-12,[SYNTHETIC] COMCAST CABLE,-53.22,checking,utilities
2024-08-13,[SYNTHETIC] ATM WITHDRAWAL,-52.4,checking,cash
2024-08-14,[SYNTHETIC] STARBUCKS,-10.46,savings,dining
2024-08-14,[SYNTHETIC] TRADER JOES,-63.1,checking,groceries
2024-08-14,[SYNTHETIC] INTEREST CREDIT,7.19,checking,income
2024-08-16,[SYNTHETIC] UNITED AIRLINES,-553.74,savings,travel
2024-08-17,[SYNTHETIC] AMC THEATRES,-15.93,checking,entertainment
2024-08-18,[SYNTHETIC] TARGET STORE,-92.68,checking,shopping
2024-08-20,[SYNTHETIC] UNITED AIRLINES,-271.91,checking,travel
2024-08-20,[SYNTHETIC] TRADER JOES,-34.27,checking,groceries
2024-08-21,[SYNTHETIC] SHELL GAS STATION,-43.65,savings,transport
2024-08-21,[SYNTHETIC] CVS PHARMACY,-14.27,checking,health
2024-08-22,[SYNTHETIC] CHIPOTLE,-15.69,checking,dining
2024-08-23,[SYNTHETIC] AMAZON.COM,-87.39,checking,shopping
2024-08-24,[SYNTHETIC] UNITED AIRLINES,-231.78,checking,travel
2024-08-28,[SYNTHETIC] UNITED AIRLINES,-250.1,checking,travel
2024-08-28,[SYNTHETIC] ZELLE TRANSFER,-105.1,checking,transfers
2024-08-30,[SYNTHETIC] WHOLEFOODS MARKET,-105.56,checking,groceries
2024-08-30,[SYNTHETIC] LYFT RIDE,-29.42,savings,transport
2024-08-31,[SYNTHETIC] LYFT RIDE,-27.56,checking,transport
2024-08-31,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-09-04,[SYNTHETIC] VENMO PAYMENT,-103.68,savings,transfers
2024-09-04,[SYNTHETIC] ATM WITHDRAWAL,-84.24,savings,cash
2024-09-05,[SYNTHETIC] CHIPOTLE,-24.69,savings,dining
2024-09-05,[SYNTHETIC] VENMO PAYMENT,-58.56,checking,transfers
2024-09-05,[SYNTHETIC] INTEREST CREDIT,9.77,checking,income
2024-09-07,[SYNTHETIC] STARBUCKS,-8.44,checking,dining
2024-09-08,[SYNTHETIC] COMCAST CABLE,-67.93,checking,utilities
2024-09-08,[SYNTHETIC] STARBUCKS,-4.59,savings,dining
2024-09-15,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-09-15,[SYNTHETIC] ATM WITHDRAWAL,-118.17,checking,cash
2024-09-16,[SYNTHETIC] WHOLEFOODS MARKET,-113.45,savings,groceries
2024-09-16,[SYNTHETIC] COMCAST CABLE,-60.61,checking,utilities
2024-09-17,[SYNTHETIC] AMAZON.COM,-81.62,checking,shopping
2024-09-18,[SYNTHETIC] ATM WITHDRAWAL,-115.71,savings,cash
2024-09-20,[SYNTHETIC] ATM WITHDRAWAL,-78.08,savings,cash
2024-09-20,[SYNTHETIC] ZELLE TRANSFER,-207.56,savings,transfers
2024-09-21,[SYNTHETIC] TARGET STORE,-56.12,checking,shopping
2024-09-22,[SYNTHETIC] PG&E UTILITY,-97.16,savings,utilities
2024-09-24,[SYNTHETIC] INTEREST CREDIT,14.52,checking,income
2024-09-25,[SYNTHETIC] VENMO PAYMENT,-127.42,checking,transfers
2024-09-27,[SYNTHETIC] LANDLORD RENT,-1800.0,savings,rent
2024-09-27,[SYNTHETIC] TARGET STORE,-20.63,savings,shopping
2024-09-28,[SYNTHETIC] VENMO PAYMENT,-48.34,savings,transfers
2024-09-28,[SYNTHETIC] TARGET STORE,-47.5,savings,shopping
2024-09-29,[SYNTHETIC] AMAZON.COM,-72.83,checking,shopping
2024-09-30,[SYNTHETIC] TRADER JOES,-37.59,checking,groceries
2024-10-02,[SYNTHETIC] COMCAST CABLE,-60.51,savings,utilities
2024-10-02,[SYNTHETIC] CHIPOTLE,-23.46,savings,dining
2024-10-03,[SYNTHETIC] CVS PHARMACY,-43.5,savings,health
2024-10-03,[SYNTHETIC] ZELLE TRANSFER,-47.16,checking,transfers
2024-10-06,[SYNTHETIC] AMC THEATRES,-23.75,checking,entertainment
2024-10-07,[SYNTHETIC] UNITED AIRLINES,-525.18,checking,travel
2024-10-08,[SYNTHETIC] PG&E UTILITY,-73.21,savings,utilities
2024-10-08,[SYNTHETIC] AIRBNB,-169.31,savings,travel
2024-10-09,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-10-09,[SYNTHETIC] ATM WITHDRAWAL,-52.01,checking,cash
2024-10-10,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-10-11,[SYNTHETIC] UNITED AIRLINES,-447.84,checking,travel
2024-10-14,[SYNTHETIC] UBER TRIP,-8.26,checking,transport
2024-10-15,[SYNTHETIC] COMCAST CABLE,-87.97,checking,utilities
2024-10-16,[SYNTHETIC] PLANET FITNESS,-22.99,checking,health
2024-10-17,[SYNTHETIC] AMC THEATRES,-36.54,checking,entertainment
2024-10-17,[SYNTHETIC] AMC THEATRES,-38.51,checking,entertainment
2024-10-18,[SYNTHETIC] UNITED AIRLINES,-429.46,savings,travel
2024-10-19,[SYNTHETIC] ZELLE TRANSFER,-183.46,checking,transfers
2024-10-21,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-10-22,[SYNTHETIC] UNITED AIRLINES,-236.53,checking,travel
2024-10-24,[SYNTHETIC] AMAZON.COM,-64.82,savings,shopping
2024-10-25,[SYNTHETIC] SHELL GAS STATION,-50.44,checking,transport
2024-10-28,[SYNTHETIC] CHIPOTLE,-15.01,checking,dining
2024-10-28,[SYNTHETIC] UNITED AIRLINES,-399.26,savings,travel
2024-10-28,[SYNTHETIC] AIRBNB,-347.31,checking,travel
2024-10-28,[SYNTHETIC] LYFT RIDE,-29.16,checking,transport
2024-10-30,[SYNTHETIC] TARGET STORE,-65.15,checking,shopping
2024-10-30,[SYNTHETIC] ZELLE TRANSFER,-98.81,checking,transfers
2024-10-31,[SYNTHETIC] WHOLEFOODS MARKET,-50.1,checking,groceries
2024-10-31,[SYNTHETIC] AMAZON.COM,-57.84,checking,shopping
2024-11-04,[SYNTHETIC] STARBUCKS,-11.18,checking,dining
2024-11-05,[SYNTHETIC] ACME CORP PAYROLL,3473.82,checking,income
2024-11-06,[SYNTHETIC] COMCAST CABLE,-66.93,checking,utilities
2024-11-06,[SYNTHETIC] ACME CORP PAYROLL,4051.12,checking,income
2024-11-06,[SYNTHETIC] PLANET FITNESS,-22.99,savings,health
2024-11-07,[SYNTHETIC] UBER TRIP,-13.37,checking,transport
2024-11-08,[SYNTHETIC] UBER TRIP,-26.04,checking,transport
2024-11-09,[SYNTHETIC] TARGET STORE,-85.2,savings,shopping
2024-11-11,[SYNTHETIC] AIRBNB,-233.66,checking,travel
2024-11-11,[SYNTHETIC] ATM WITHDRAWAL,-169.31,savings,cash
2024-11-12,[SYNTHETIC] AIRBNB,-319.07,checking,travel
2024-11-13,[SYNTHETIC] LYFT RIDE,-10.62,savings,transport
2024-11-14,[SYNTHETIC] AMAZON.COM,-87.11,checking,shopping
2024-11-14,[SYNTHETIC] UBER TRIP,-12.11,checking,transport
2024-11-15,[SYNTHETIC] PG&E UTILITY,-85.11,checking,utilities
2024-11-16,[SYNTHETIC] ACME CORP PAYROLL,3474.33,savings,income
2024-11-19,[SYNTHETIC] ACME CORP PAYROLL,3276.54,checking,income
2024-11-21,[SYNTHETIC] WHOLEFOODS MARKET,-57.84,savings,groceries
2024-11-21,[SYNTHETIC] LANDLORD RENT,-1800.0,checking,rent
2024-11-22,[SYNTHETIC] WHOLEFOODS MARKET,-118.48,checking,groceries
2024-11-22,[SYNTHETIC] ACME CORP PAYROLL,3560.5,savings,income
2024-11-23,[SYNTHETIC] WHOLEFOODS MARKET,-53.35,savings,groceries
2024-11-24,[SYNTHETIC] ATM WITHDRAWAL,-94.43,checking,cash
2024-11-25,[SYNTHETIC] STARBUCKS,-7.67,checking,dining
2024-11-27,[SYNTHETIC] NETFLIX.COM,-15.99,checking,entertainment
2024-11-29,[SYNTHETIC] WHOLEFOODS MARKET,-48.02,checking,groceries
2024-12-07,[SYNTHETIC] CHIPOTLE,-11.85,savings,dining
2024-12-07,[SYNTHETIC] PLANET FITNESS,-22.99,savings,health
2024-12-08,[SYNTHETIC] AMAZON.COM,-131.65,checking,shopping
2024-12-09,[SYNTHETIC] AMAZON.COM,-102.73,checking,shopping
2024-12-09,[SYNTHETIC] CHIPOTLE,-13.55,checking,dining
2024-12-10,[SYNTHETIC] TRADER JOES,-48.63,checking,groceries
2024-12-12,[SYNTHETIC] TARGET STORE,-79.85,checking,shopping
2024-12-13,[SYNTHETIC] CVS PHARMACY,-45.51,savings,health
2024-12-14,[SYNTHETIC] AIRBNB,-193.98,checking,travel
2024-12-15,[SYNTHETIC] ZELLE TRANSFER,-203.21,savings,transfers
2024-12-15,[SYNTHETIC] INTEREST CREDIT,13.39,checking,income
2024-12-16,[SYNTHETIC] CVS PHARMACY,-36.22,checking,health
2024-12-17,[SYNTHETIC] AMC THEATRES,-32.14,savings,entertainment
2024-12-17,[SYNTHETIC] PG&E UTILITY,-64.29,checking,utilities
2024-12-18,[SYNTHETIC] LYFT RIDE,-25.82,savings,transport
2024-12-18,[SYNTHETIC] STARBUCKS,-6.43,checking,dining
2024-12-19,[SYNTHETIC] LYFT RIDE,-36.93,savings,transport
2024-12-19,[SYNTHETIC] PG&E UTILITY,-98.09,savings,utilities
2024-12-19,[SYNTHETIC] INTEREST CREDIT,3.59,checking,income
2024-12-20,[SYNTHETIC] PLANET FITNESS,-22.99,savings,health
2024-12-22,[SYNTHETIC] NETFLIX.COM,-15.99,savings,entertainment
2024-12-25,[SYNTHETIC] SPOTIFY USA,-10.99,savings,entertainment
2024-12-26,[SYNTHETIC] AMAZON.COM,-55.84,savings,shopping
2024-12-27,[SYNTHETIC] TRADER JOES,-42.84,checking,groceries
2024-12-28,[SYNTHETIC] ACME CORP PAYROLL,3398.89,checking,income
